Gene.primaryIdentifier	Gene.featureType	Gene.qualifier	Gene.secondaryIdentifier	Gene.symbol	Gene.sgdAlias	Gene.featAttribute	Gene.length	Gene.chromosomeLocation.locatedOn.primaryIdentifier	Gene.locations.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand	Gene.geneSummary	Gene.status	Gene.organism.commonName	Gene.description
S000005033	ORF	Dubious	YNL089C	null	null	null	477	chrXIV	456693	457169	-1	null	Active	null	Dubious open reading frame unlikely to encode a functional protein; almost completely overlaps YNL090W/RHO2 which encodes a small GTPase of the Rho/Rac subfamily of Ras-like proteins
S000005034	ORF	Verified	YNL090W	RHO2	Rho family GTPase RHO2	null	579	chrXIV	456565	457143	1	null	Active	null	Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; involved in the establishment of cell polarity and in microtubule assembly
S000005035	ORF	Verified	YNL091W	NST1	null	null	3723	chrXIV	452408	456130	1	null	Active	null	Protein of unknown function; mediates sensitivity to salt stress; interacts physically with the splicing factor Msl1p and also displays genetic interaction with MSL1
S000005036	ORF	Verified	YNL092W	null	S-adenosylmethionine-dependent methyltransferase	null	1203	chrXIV	450871	452073	1	null	Active	null	S-adenosylmethionine-dependent protein methyltransferase; capable of automethylation; member of the seven beta-strand family; YNL092W is not an essential gene
S000005037	ORF	Verified	YNL093W	YPT53	Rab family GTPase YPT53	null	663	chrXIV	449868	450530	1	null	Active	null	Stress-induced Rab family GTPase; required for vacuolar protein sorting and endocytosis; involved in ionic stress tolerance; similar to Vps21p and Ypt52p; functional homolog of Vps21p; mammalian Rab5 homolog; YPT53 has a paralog, VPS21, that arose from the whole genome duplication
S000005038	ORF	Verified	YNL094W	APP1	phosphatidate phosphatase APP1	null	1764	chrXIV	447611	449374	1	null	Active	null	Phosphatidate phosphatase, converts phosphatidate to diacylglycerol; App1p, Pah1p, Dpp1p, and Lpp1p are responsible for all the phosphatidate phosphatase activity; component of cortical actin patches; interacts with components of endocytic pathway
S000005039	ORF	Uncharacterized	YNL095C	null	null	null	1929	chrXIV	444912	446840	-1	null	Active	null	Putative protein of unknown function; predicted to contain a transmembrane domain; not an essential gene; YNL095C has a paralog, ECM3, that arose from the whole genome duplication
S000005040	ORF	Verified	YNL096C	RPS7B	eS7 ribosomal 40S subunit protein S7B rp30 S7B S7e	null	918	chrXIV	443398	444315	-1	null	Active	null	Protein component of the small (40S) ribosomal subunit; interacts with Kti11p; deletion causes hypersensitivity to zymocin; homologous to mammalian ribosomal protein S7, no bacterial homolog; RPS7B has a paralog, RPS7A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress
S000005041	ORF	Verified	YNL097C	PHO23	null	null	993	chrXIV	441366	442358	-1	null	Active	null	Component of the Rpd3L histone deacetylase complex; involved in transcriptional regulation of PHO5; affects termination of snoRNAs and cryptic unstable transcripts (CUTs); C-terminus shares significant sequence identity with the human candidate tumor suppressor p33-ING1 and its isoform ING3
S000005042	ORF	Verified	YNL098C	RAS2	CTN5 CYR3 GLC5 Ras family GTPase RAS2 TSL7	null	969	chrXIV	439602	440570	-1	null	Active	null	GTP-binding protein; regulates nitrogen starvation response, sporulation, and filamentous growth; farnesylation and palmitoylation required for activity and localization to plasma membrane; homolog of mammalian Ras proto-oncogenes; RAS2 has a paralog, RAS1, that arose from the whole genome duplication
S000005043	ORF	Verified	YNL099C	OCA1	putative tyrosine protein phosphatase OCA1	null	717	chrXIV	438567	439283	-1	null	Active	null	Putative protein tyrosine phosphatase; required for cell cycle arrest in response to oxidative damage of DNA
S000005044	ORF	Verified	YNL100W	MIC27	AIM37 MCS27	null	705	chrXIV	437613	438317	1	null	Active	null	Component of the MICOS complex; MICOS (formerly MINOS or MitOS) is a mitochondrial inner membrane complex that extends into the intermembrane space and has a role in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane; forms a subcomplex with Mic10p and Mic12p whose assembly and stability requires cardiolipin
S000005045	ORF	Verified	YNL101W	AVT4	null	null	2142	chrXIV	434999	437140	1	null	Active	null	Vacuolar transporter; exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs)
S000005046	ORF	Verified	YNL102W	POL1	CDC17 CRT5 DNA-directed DNA polymerase alpha catalytic subunit POL1 HPR3	null	4407	chrXIV	430087	434493	1	null	Active	null	Catalytic subunit of the DNA polymerase I alpha-primase complex; required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis
S000005047	ORF	Verified	YNL103W	MET4	null	null	2019	chrXIV	427735	429753	1	null	Active	null	Leucine-zipper transcriptional activator; responsible for regulation of sulfur amino acid pathway; requires different combinations of auxiliary factors Cbf1p, Met28p, Met31p and Met32p; feedforward loop exists in the regulation of genes controlled by Met4p and Met32p; can be ubiquitinated by ubiquitin ligase SCF-Met30p, is either degraded or maintained in an inactive state; regulates degradation of its own DNA-binding cofactors by targeting them to SCF-Met30p
S000005048	ORF	Verified	YNL104C	LEU4	2-isopropylmalate synthase LEU4	null	1860	chrXIV	424895	426754	-1	null	Active	null	Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog, LEU9, that arose from the whole genome duplication
S000005049	ORF	Dubious	YNL105W	RRT16	null	null	429	chrXIV	424155	424583	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene INP52; identified in a screen for mutants with decreased levels of rDNA transcription
S000005050	ORF	Verified	YNL106C	INP52	phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP52 SJL2	null	3552	chrXIV	420944	424495	-1	null	Active	null	Polyphosphatidylinositol phosphatase; dephosphorylates a number of phosphatidylinositol phosphates (PtdInsPs, PIPs) to PI; involved in endocytosis; hyperosmotic stress causes translocation to actin patches; synaptojanin-like protein with a Sac1 domain; INP52 has a paralog, INP53, that arose from the whole genome duplication
S000005051	ORF	Verified	YNL107W	YAF9	null	null	681	chrXIV	420098	420778	1	null	Active	null	Subunit of NuA4 histone H4 acetyltransferase and SWR1 complexes; may function to antagonize silencing near telomeres; interacts directly with Swc4p; has homology to human leukemogenic protein AF9; contains a YEATS domain
S000005052	ORF	Verified	YNL108C	null	HUF	null	813	chrXIV	419014	419826	-1	null	Active	null	Protein phosphatase; similar to prokaryotic phosphotransfer enzymes; null mutant shows alterations in glucose metabolism; GFP-fusion protein localizes to the cytoplasm and nucleus; YNL108C has a paralog, TFC7, that arose from the whole genome duplication
S000005053	ORF	Dubious	YNL109W	null	null	null	546	chrXIV	418964	419509	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YNL108C
S000005054	ORF	Verified	YNL110C	NOP15	rRNA-binding ribosome biosynthesis protein NOP15	null	663	chrXIV	417826	418488	-1	null	Active	null	Constituent of 66S pre-ribosomal particles; involved in 60S ribosomal subunit biogenesis; localizes to both nucleolus and cytoplasm
S000005055	ORF	Verified	YNL111C	CYB5	null	null	363	chrXIV	416940	417302	-1	null	Active	null	Cytochrome b5; involved in the sterol and lipid biosynthesis pathways; acts as an electron donor to support sterol C5-6 desaturation
S000005056	ORF	Verified	YNL112W	DBP2	DEAD-box ATP-dependent RNA helicase DBP2	null	2643	chrXIV	413639	416281	1	null	Active	null	ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; interacts with YRA1; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites
S000005057	ORF	Verified	YNL113W	RPC19	AC19 DNA-directed RNA polymerase core subunit RPC19	null	429	chrXIV	412771	413199	1	null	Active	null	RNA polymerase subunit AC19; common to RNA polymerases I and III
S000005058	ORF	Dubious	YNL114C	null	null	null	372	chrXIV	412684	413055	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF RPC19/YNL113W, an RNA polymerase subunit
S000005059	ORF	Uncharacterized	YNL115C	null	null	null	1935	chrXIV	410119	412053	-1	null	Active	null	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL115C is not an essential gene
S000005060	ORF	Verified	YNL116W	DMA2	CHF2 ubiquitin-conjugating protein DMA2	null	1569	chrXIV	408341	409909	1	null	Active	null	Ubiquitin-protein ligase (E3); controls septin dynamics and spindle position checkpoint (SPOC) with ligase Dma1p by regulating recruitment of Elm1p to bud neck; regulates levels of eIF2 subunit Gcd11p, as well as abundance, localization, and ubiquitination of Cdk inhibitory kinase Swe1p; ortholog of human RNF8, similar to human Chfr; contains FHA and RING finger domains; DMA2 has a paralog, DMA1, that arose from the whole genome duplication
S000005061	ORF	Verified	YNL117W	MLS1	malate synthase MLS1	null	1665	chrXIV	406358	408022	1	null	Active	null	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
S000005062	ORF	Verified	YNL118C	DCP2	decapping enzyme complex catalytic subunit PSU1	null	2913	chrXIV	402652	405564	-1	null	Active	null	Catalytic subunit of Dcp1p-Dcp2p decapping enzyme complex; removes 5' cap structure from mRNAs prior to their degradation; also enters nucleus and positively regulates transcription initiation; nudix hydrolase family member; forms cytoplasmic foci upon DNA replication stress; human homolog DCP2 complements yeast dcp2 thermosensitive mutant
S000005063	ORF	Verified	YNL119W	NCS2	TUC2	null	1482	chrXIV	401040	402521	1	null	Active	null	Protein required for uridine thiolation of Lys(UUU) and Glu(UUC) tRNAs; required for the thiolation of uridine at the wobble position of Lys(UUU) and Glu(UUC) tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae
S000005064	ORF	Dubious	YNL120C	null	null	null	486	chrXIV	401033	401518	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion enhances replication of Brome mosaic virus in S. cerevisiae, but likely due to effects on the overlapping gene
S000005065	ORF	Verified	YNL121C	TOM70	MAS70 MOM72 OMP1 protein channel TOM70	null	1854	chrXIV	398684	400537	-1	null	Active	null	Component of the TOM (translocase of outer membrane) complex; involved in the recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins; TOM70 has a paralog, TOM71, that arose from the whole genome duplication
S000005066	ORF	Verified	YNL122C	null	bL35m	null	348	chrXIV	398023	398370	-1	null	Active	null	Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L35 and human MRPL35 ribosomal proteins
S000005067	ORF	Verified	YNL123W	NMA111	YNM3	null	2994	chrXIV	394685	397678	1	null	Active	null	Serine protease and general molecular chaperone; cleaves Roq1p, which modifies the substrate specificity of the Ubr1p Ub-ligase, promoting the stress-induced homeostatically-regulated protein degradation (SHRED) of misfolded and native ER-membrane and cytosolic proteins; chaperone activity involved in the heat stress response; promotes apoptosis through proteolysis of Bir1p; role in lipid homeostasis; mammalian Omi/HtrA2 serine protease family member
S000005068	ORF	Verified	YNL124W	NAF1	RNA-binding snoRNP assembly protein	null	1479	chrXIV	392892	394370	1	null	Active	null	RNA-binding protein required for the assembly of box H/ACA snoRNPs; thus required for pre-rRNA processing; forms a complex with Shq1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; similar to Gar1p
S000005069	ORF	Verified	YNL125C	ESBP6	MCH3	null	2022	chrXIV	390146	392167	-1	null	Active	null	Protein with similarity to monocarboxylate permeases; appears not to be involved in transport of monocarboxylates such as lactate, pyruvate or acetate across the plasma membrane
S000005070	ORF	Verified	YNL126W	SPC98	null	null	2541	chrXIV	387227	389767	1	null	Active	null	Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex; interacts with Spc110p at the spindle pole body (SPB) inner plaque and with Spc72p at the SPB outer plaque
S000005071	ORF	Verified	YNL127W	FAR11	null	null	2862	chrXIV	383987	386848	1	null	Active	null	Protein involved in recovery from cell cycle arrest; acts in response to pheromone; also involved in regulation of intra-S DNA damage checkpoint and autophagy; is essential for dephosphorylation of Atg13p; interacts with Far3p, Far7p, Far8p, Far9p, Far10p and with the phosphatases Pph21p, Pph22p and Pph3p; has similarity to the N- and C-termini of N. crassa HAM-2; similar to human Fam40A and Fam40B
S000005072	ORF	Verified	YNL128W	TEP1	putative phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase	null	1305	chrXIV	382359	383663	1	null	Active	null	PTEN homolog with no demonstrated inositol lipid phosphatase activity; plays a role in normal sporulation; homolog of human tumor suppressor gene PTEN/MMAC1/TEP1 and fission yeast ptn1
S000005073	ORF	Verified	YNL129W	NRK1	ribosylnicotinamide kinase	null	723	chrXIV	381480	382202	1	null	Active	null	Nicotinamide riboside kinase; catalyzes the phosphorylation of nicotinamide riboside and nicotinic acid riboside in salvage pathways for NAD+ biosynthesis
S000005074	ORF	Verified	YNL130C	CPT1	diacylglycerol cholinephosphotransferase	null	1274	chrXIV	379558	380831	-1	null	Active	null	Cholinephosphotransferase; required for phosphatidylcholine biosynthesis and for inositol-dependent regulation of EPT1 transcription; CPT1 has a paralog, EPT1, that arose from the whole genome duplication
S000005075	ORF	Verified	YNL131W	TOM22	MAS17 MAS22 MOM22	null	459	chrXIV	378767	379225	1	null	Active	null	Component of the TOM (Translocase of Outer Membrane) complex; responsible for initial import of mitochondrially directed proteins; mediates interaction between TOM and TIM complexes and acts as a receptor for precursor proteins
S000005076	ORF	Verified	YNL132W	KRE33	ribosome biosynthesis protein KRE33 RRA1	null	3171	chrXIV	375321	378491	1	null	Active	null	Protein required for biogenesis of the small ribosomal subunit; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance; essential gene; NAT10, the human homolog, implicated in several types of cancer and premature aging.
S000005077	ORF	Verified	YNL133C	FYV6	null	null	522	chrXIV	374171	374692	-1	null	Active	null	Protein of unknown function; required for survival upon exposure to K1 killer toxin; proposed to regulate double-strand break repair via non-homologous end-joining
S000005078	ORF	Verified	YNL134C	null	null	null	1131	chrXIV	372451	373581	-1	null	Active	null	NADH-dependent aldehyde reductase, involved in detoxification of furfural; expression is up-regulated in the presence of furfural and 5-hydroxymethylfurfural, which are compounds generated during lignocellulosic biomass pre-treatment; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress
S000005079	ORF	Verified	YNL135C	FPR1	FKB1 peptidylprolyl isomerase FPR1 RBP1	null	345	chrXIV	371882	372226	-1	null	Active	null	Peptidyl-prolyl cis-trans isomerase (PPIase); binds to the drugs FK506 and rapamycin; also binds to the nonhistone chromatin binding protein Hmo1p and may regulate its assembly or function; N-terminally propionylated in vivo; mutation is functionally complemented by human FKBP1A
S000005080	ORF	Verified	YNL136W	EAF7	null	null	1278	chrXIV	370368	371645	1	null	Active	null	Subunit of the NuA4 histone acetyltransferase complex; NuA4 acetylates the N-terminal tails of histones H4 and H2A
S000005081	ORF	Verified	YNL137C	NAM9	mitochondrial 37S ribosomal protein NAM9 MNA6 uS4m	null	1461	chrXIV	368595	370055	-1	null	Active	null	Mitochondrial ribosomal component of the small subunit
S000005082	ORF	Verified	YNL138W	SRV2	adenylate cyclase-binding protein CAP	null	1581	chrXIV	366741	368321	1	null	Active	null	CAP (cyclase-associated protein); N-terminus binds adenylate cyclase and facilitates activation by RAS; N-terminus forms novel hexameric star-shaped shuriken structures that directly catalyze cofilin-mediated severing of actin filaments; C-terminus binds and recycles cofilin bound, ADP-actin monomers, facilitating regulation of actin dynamics and cell morphogenesis; N- and C-termini can function as physically separate proteins; mCAP1 is the mouse homolog
S000005083	ORF	Verified	YNL139C	THO2	LDB5 RLR1 ZRG13	null	4794	chrXIV	360924	365717	-1	null	Active	null	Subunit of the THO complex; THO is required for efficient transcription elongation and involved in transcriptional elongation-associated recombination; required for LacZ RNA expression from certain plasmids
S000005084	ORF	Uncharacterized	YNL140C	null	null	null	570	chrXIV	360917	361486	-1	null	Active	null	Protein of unknown function; expressed at both mRNA and protein levels; partially overlaps THO2/YNL139C
S000005085	ORF	Verified	YNL141W	AAH1	adenine deaminase	null	1044	chrXIV	359596	360639	1	null	Active	null	Adenine deaminase (adenine aminohydrolase); converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome
S000005086	ORF	Verified	YNL142W	MEP2	ammonium permease MEP2	null	1500	chrXIV	357453	358952	1	null	Active	null	Ammonium permease involved in regulation of pseudohyphal growth; belongs to Mep-Amt-Rh family of well-conserved ammonium (NH4+) transporters that includes human Rh factors; expression is under the nitrogen catabolite repression regulation; activity is controlled by phospho-silencing; phosphorylation of Mep2 mediated by Npr1; dephosphorylation involves Psr1p and Psr2p
S000005087	ORF	Uncharacterized	YNL143C	null	null	null	393	chrXIV	356794	357186	-1	null	Active	null	Protein of unknown function; expressed at both mRNA and protein levels
S000005088	ORF	Uncharacterized	YNL144C	null	null	null	2223	chrXIV	352820	355042	-1	null	Active	null	Putative protein of unknown function; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; contains a PH domain and binds phosphatidylinositols and phosphatidylethanolamine in a large-scale study; YNL144C has a paralog, YHR131C, that arose from the whole genome duplication
S000005089	ORF	Verified	YNL145W	MFA2	mating pheromone a	null	117	chrXIV	352414	352530	1	null	Active	null	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
S000005090	ORF	Uncharacterized	YNL146W	null	null	null	303	chrXIV	351715	352017	1	null	Active	null	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YNL146W is not an essential gene
S000005091	ORF	Verified	YNL147W	LSM7	Sm-like protein LSM7	null	444	chrXIV	350940	351383	1	null	Active	null	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress
S000005092	ORF	Verified	YNL148C	ALF1	null	null	765	chrXIV	349907	350671	-1	null	Active	null	Alpha-tubulin folding protein; similar to mammalian cofactor B; Alf1p-GFP localizes to cytoplasmic microtubules; required for the folding of alpha-tubulin and may play an additional role in microtubule maintenance
S000005093	ORF	Verified	YNL149C	PGA2	null	null	390	chrXIV	349367	349756	-1	null	Active	null	Essential protein required for maturation of Gas1p and Pho8p; involved in protein trafficking; GFP-fusion protein localizes to the ER and YFP-fusion protein to the nuclear envelope-ER network; null mutants have a cell separation defect
S000005094	ORF	Dubious	YNL150W	null	null	null	408	chrXIV	349251	349658	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; extensive overlap with PGA2/YNL149C, an uncharacterized gene with a proposed role in protein trafficking
S000005095	ORF	Verified	YNL151C	RPC31	ACP2 C31 DNA-directed RNA polymerase III subunit C31 RPC8	null	756	chrXIV	347766	348521	-1	null	Active	null	RNA polymerase III subunit C31
S000005096	ORF	Verified	YNL152W	INN1	null	null	1230	chrXIV	346313	347542	1	null	Active	null	Essential protein that associates with contractile actomyosin ring; required for ingression of the plasma membrane into the bud neck during cytokinesis; C2 domain, a membrane targeting module, is required for function; activates chitin synthase activity of Chs2p during cytokinesis
S000005097	ORF	Verified	YNL153C	GIM3	PFD4 tubulin-binding prefolding complex subunit GIM3	null	390	chrXIV	345669	346058	-1	null	Active	null	Subunit of the heterohexameric cochaperone prefoldin complex; prefoldin binds specifically to cytosolic chaperonin and transfers target proteins to it; prefoldin complex also localizes to chromatin of actively transcribed genes in the nucleus and facilitates transcriptional elongation
S000005098	ORF	Verified	YNL154C	YCK2	serine/threonine protein kinase YCK2	null	1641	chrXIV	343636	345276	-1	null	Active	null	Palmitoylated plasma membrane-bound casein kinase I (CK1) isoform; shares redundant functions with Yck1p in morphogenesis, proper septin assembly, endocytic trafficking, and glucose sensing; stabilized by Sod1p binding in the presence of glucose and oxygen, causing glucose repression of respiratory metabolism; involved in the phosphorylation and regulation of glucose sensor Rgt2p; YCK2 has a paralog, YCK1, that arose from the whole genome duplication
S000005099	ORF	Verified	YNL155W	CUZ1	null	null	825	chrXIV	342516	343340	1	null	Active	null	Protein with a role in the ubiquitin-proteasome pathway; interacts with ubiquitinated protein, Cdc48p and the proteasomal regulatory particle; may protect cells from trivalent metalloid induced proteotoxicity; contains a PACE promoter element and is co-regulated with proteasome subunit genes; AN1-type zinc finger protein, with DHHC and ubiquitin-like domains (UBL); ortholog of ZFAND1, a human gene linked to cancer; protein abundance increases under DNA replication stress
S000005100	ORF	Verified	YNL156C	NSG2	null	null	900	chrXIV	341069	341968	-1	null	Active	null	Protein involved in regulation of sterol biosynthesis; specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis; homolog of mammalian INSIG proteins; NSG2 has a paralog, NSG1, that arose from the whole genome duplication
S000005101	ORF	Verified	YNL157W	IGO1	phosphatase regulator	null	507	chrXIV	340352	340858	1	null	Active	null	Protein required for initiation of G0 program; prevents degradation of nutrient-regulated mRNAs via the 5'-3' mRNA decay pathway; phosphorylated by Rim15p; GFP protein localizes to the cytoplasm and nucleus; IGO1 has a paralog, IGO2, that arose from the whole genome duplication
S000005102	ORF	Verified	YNL158W	PGA1	null	null	597	chrXIV	339612	340208	1	null	Active	null	Essential component of GPI-mannosyltransferase II; complex is responsible for second mannose addition to GPI precursors as a partner of Gpi18p; required for maturation of Gas1p and Pho8p; has synthetic genetic interactions with secretory pathway genes
S000005103	ORF	Verified	YNL159C	ASI2	null	null	870	chrXIV	338478	339347	-1	null	Active	null	Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and inner for ubiquitin-mediated degradation; acts with Asi1p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p, maintaining the repressed state of gene expression in the absence of inducing amino acids
S000005104	ORF	Verified	YNL160W	YGP1	null	null	1065	chrXIV	336545	337609	1	null	Active	null	Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; YGP1 has a paralog, SPS100, that arose from the whole genome duplication
S000005105	ORF	Verified	YNL161W	CBK1	serine/threonine protein kinase CBK1	null	2271	chrXIV	332597	334867	1	null	Active	null	Serine/threonine protein kinase of the the RAM signaling network; Ndr/LATS family member; binds regulatory subunit Mob2p; involved in regulation of cellular morphogenesis, polarized growth, and septum destruction; phosphorylation by Cbk1p regulates localization and activity of Ace2p transcription factor and Ssd1p translational repressor; Cbk1p activity is regulated by both phosphorylation and specific localization; relocalizes to cytoplasm upon DNA replication stress
S000005106	ORF	Verified	YNL162W	RPL42A	eL42 L41A L42A L44e ribosomal 60S subunit protein L42A YL27	null	833	chrXIV	331322	332154	1	null	Active	null	Ribosomal 60S subunit protein L42A; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42A has a paralog, RPL42B, that arose from the whole genome duplication
S000005107	ORF	Verified	YNL163C	RIA1	EFL1 GTPase RIA1	null	3333	chrXIV	326741	330073	-1	null	Active	null	Cytoplasmic GTPase/eEF2-like factor involved in ribosomal biogenesis; with Sdo1p, a guanine nucleotide exchange factor (GEF), promotes release of Tif6p from 60S ribosomal subunits in the cytoplasm so that they can assemble with 40S subunits to generate mature ribosomes; required for quality control check of newly made large ribosomal subunits before they are released into the pool of translating ribosomes
S000005108	ORF	Verified	YNL164C	IBD2	null	null	1056	chrXIV	325265	326320	-1	null	Active	null	Component of the BUB2-dependent spindle checkpoint pathway; interacts with Bfa1p and functions upstream of Bub2p and Bfa1p
S000005109	ORF	Uncharacterized	YNL165W	null	null	null	1221	chrXIV	323832	325052	1	null	Active	null	Putative protein of unknown function; YNL165W is not an essential gene
S000005110	ORF	Verified	YNL166C	BNI5	null	null	1347	chrXIV	322219	323565	-1	null	Active	null	Linker protein responsible for recruitment of myosin to the bud neck; interacts with the C-terminal extensions of septins Cdc11p and Shs1p and binds Myo1p to promote cytokinesis
S000005111	ORF	Verified	YNL167C	SKO1	ACR1	null	1944	chrXIV	319416	321359	-1	null	Active	null	Basic leucine zipper transcription factor of the ATF/CREB family; forms a complex with Tup1p and Cyc8p to both activate and repress transcription; cytosolic and nuclear protein involved in osmotic and oxidative stress responses
S000005112	ORF	Uncharacterized	YNL168C	FMP41	null	null	780	chrXIV	318030	318809	-1	null	Active	null	Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
S000005113	ORF	Verified	YNL169C	PSD1	phosphatidylserine decarboxylase 1	null	1503	chrXIV	316169	317671	-1	null	Active	null	Phosphatidylserine decarboxylase of the mitochondrial inner membrane; converts phosphatidylserine to phosphatidylethanolamine; regulates mitochondrial fusion and morphology by affecting lipid mixing in the mitochondrial membrane and by influencing the ratio of long to short forms of Mgm1p; partly exposed to the mitochondrial intermembrane space; autocatalytically processed
S000005114	ORF	Dubious	YNL170W	null	null	null	396	chrXIV	315978	316373	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000005115	ORF	Dubious	YNL171C	null	null	null	369	chrXIV	315629	315997	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000005116	ORF	Verified	YNL172W	APC1	anaphase promoting complex subunit 1	null	5247	chrXIV	310636	315882	1	null	Active	null	Largest subunit of the Anaphase-Promoting Complex/Cyclosome; APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; localizes to nuclear foci that become diffuse upon DNA replication stress
S000005117	ORF	Verified	YNL173C	MDG1	null	null	1101	chrXIV	308957	310057	-1	null	Active	null	Plasma membrane protein; involved in G-protein mediated pheromone signaling pathway; overproduction suppresses bem1 mutations; MDG1 has a paralog, CRP1, that arose from the whole genome duplication
S000005118	ORF	Dubious	YNL174W	null	null	null	573	chrXIV	308074	308646	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene NOP13/YNL175C
S000005119	ORF	Verified	YNL175C	NOP13	null	null	1212	chrXIV	307401	308612	-1	null	Active	null	Nucleolar protein found in preribosomal complexes; contains an RNA recognition motif (RRM); relative distribution to the nucleolus increases upon DNA replication stress
S000005120	ORF	Verified	YNL176C	TDA7	null	null	1911	chrXIV	305070	306980	-1	null	Active	null	Cell cycle-regulated gene of unknown function; promoter bound by Fkh2p; null mutant is sensitive to expression of the top1-T722A allele; TDA7 has a paralog, YDL211C, that arose from the whole genome duplication
S000005121	ORF	Verified	YNL177C	MRPL22	mitochondrial 54S ribosomal protein YmL22 uL22m YmL22	null	930	chrXIV	303686	304615	-1	null	Active	null	Mitochondrial ribosomal protein of the large subunit
S000005122	ORF	Verified	YNL178W	RPS3	ribosomal 40S subunit protein S3 rp13 S3 SUF14 uS3 YS3	null	723	chrXIV	302680	303402	1	null	Active	null	Protein component of the small (40S) ribosomal subunit; has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; nascent Rps3p is bound by specific chaperone Yar1p during translation; homologous to mammalian ribosomal protein S3 and bacterial S3
